I,NV,NE,HMIN,HMAX,ENORM,ENORMPREF,JACCARD,REFINETIME
0,199,348,0.29116,0.48601,3.080e-02,2.092e-02,0.78851,0.000e+00
1,348,648,0.14003,0.62487,9.336e-03,7.140e-03,0.92804,6.561e-01
2,980,1891,0.05602,0.37377,3.321e-03,2.535e-03,0.96709,6.009e-01
3,3243,6364,0.01916,0.30786,1.090e-03,8.687e-04,0.98482,1.007e+00
4,7420,14664,0.00812,0.16659,6.194e-04,4.456e-04,0.99422,1.814e+00
5,19854,39419,0.00310,0.11816,2.388e-04,1.855e-04,0.99715,4.065e+00
6,56191,111897,0.00121,0.06394,9.190e-05,7.204e-05,0.99903,1.074e+01
7,111750,222879,0.00051,0.05492,4.929e-05,3.965e-05,0.99956,2.375e+01
8,287977,574866,0.00021,0.03368,1.876e-05,1.529e-05,0.99980,5.935e+01
9,683715,1365822,0.00010,0.02059,7.848e-06,6.529e-06,0.99991,1.484e+02
10,1264162,2525836,0.00009,0.01397,3.275e-06,2.843e-06,0.99993,3.024e+02
11,2279364,4555175,0.00009,0.00940,1.560e-06,1.348e-06,0.99992,5.708e+02
