I,NV,NE,HMIN,HMAX,ENORM,ENORMPREF,JACCARD,REFINETIME
0,169,288,0.47140,0.47140,3.748e-02,1.900e-02,0.91066,0.000e+00
1,379,708,0.19825,0.49710,1.205e-02,8.629e-03,0.92734,2.401e-01
2,959,1856,0.09877,0.54216,5.186e-03,3.281e-03,0.94551,9.651e-02
3,3151,6204,0.04347,0.25000,3.789e-03,1.004e-03,0.96851,1.091e-01
4,7853,15536,0.02359,0.24521,3.656e-03,3.429e-04,0.98278,1.336e-01
5,18391,36540,0.01039,0.24521,3.641e-03,1.368e-04,0.99239,1.927e-01
6,49211,98064,0.00555,0.24521,3.639e-03,5.698e-05,0.99623,3.688e-01
7,116417,232200,0.00280,0.24521,3.639e-03,2.371e-05,0.99809,1.265e+00
8,265281,529644,0.00129,0.24521,3.639e-03,9.860e-06,0.99905,2.580e+00
9,609485,1217696,0.00066,0.24521,3.639e-03,4.786e-06,0.99952,6.489e+00
10,1430841,2859428,0.00032,0.24521,3.639e-03,1.914e-06,0.99976,2.384e+01
11,3037723,6072612,0.00016,0.24521,3.639e-03,9.493e-07,0.99988,9.365e+01
