I,NV,NE,HMIN,HMAX,ENORM,ENORMPREF,JACCARD
0,169,288,0.47140,0.47140,3.748e-02,1.900e-02,0.91066
1,371,692,0.19721,0.49847,1.216e-02,8.789e-03,0.92734
2,961,1860,0.09805,0.54251,5.384e-03,3.265e-03,0.94551
3,2929,5760,0.04366,0.25038,4.213e-03,1.035e-03,0.96851
4,7659,15140,0.02320,0.24892,4.014e-03,3.367e-04,0.98278
5,19003,37700,0.01036,0.24893,4.000e-03,1.214e-04,0.99239
6,49496,98618,0.00522,0.24893,3.998e-03,5.426e-05,0.99623
7,118123,235552,0.00254,0.24892,3.998e-03,2.226e-05,0.99810
8,271191,541352,0.00125,0.24892,3.997e-03,9.257e-06,0.99905
9,660201,1319064,0.00063,0.24892,3.997e-03,4.277e-06,0.99952
10,1519699,3036900,0.00030,0.24892,3.997e-03,1.731e-06,0.99976
11,2894101,5785344,0.00015,0.24892,3.997e-03,9.630e-07,0.99988
